"","gene","ESC","EpiLC","q.value.ESC.EpiLC"
"5573","Papd7",11.8042,11.5262,0.946619
"5574","Srd5a1",3.82988,4.33326,0.708549
"5575","Ube2ql1",0.105067,0.316436,1
"5576","1700084F23Rik",0.0121429,0.05341,1
"5577","BC018507",22.4385,17.3465,0.151704
"5578","Adamts16",0,0.0448368,1
"5579","Irx1",0.0943306,0.0638265,1
"5580","Gm20554",0.0889468,0.161174,1
"5581","D730050B12Rik",0,0,1
"5582","Ndufs6",205.774,171.523,0.393477
"5583","D630045M09Rik",20.544,13.2528,0.0260313
"5584","Slc6a18",0.978005,1.24758,0.454699
"5585","Slc6a19",0.0239192,0.196736,1
"5586","Nkd2",0.320475,1.8422,0.000682861
"5587","Trip13",36.7749,31.2303,0.463884
"5588","Cep72",4.64538,8.88445,0.000682861
"5589","Exoc3",11.4128,10.6408,0.815615
"5590","Ahrr",0.0314284,0.304503,1
"5591","Pdcd6",40.3017,38.6387,0.899296
"5592","Sdha",110.098,91.6535,0.341113
"5593","Lrrc14b",1.38494,1.64234,0.884402
"5594","Zfp72",3.00766,3.7086,0.525058
"5595","Zfp825",35.0067,30.5139,0.597666
"5596","Cast",13.4808,7.89058,0.000682861
"5597","Rhobtb3",4.11824,10.7665,0.000682861
"5598","Rfesd",1.59977,1.94777,0.573658
"5599","Gpr150",0.0239043,0.0839642,1
"5600","Arsk",0.781967,0.697589,0.81193
"5601","Ankrd32",6.67478,7.43707,0.717506
"5602","Nr2f1",0.142404,0.027016,1
"5603","Gpr98",0.389615,0.901186,0.000682861
"5604","Polr3g",44.9363,58.9776,0.127816
"5605","Rasa1",12.4881,13.5541,0.767301
"5606","Cox7c",430.85,374.417,0.528785
"5607","Vcan",10.9026,3.34724,0.000682861
"5608","Xrcc4",5.1575,4.95201,0.92857
"5609","Atp6ap1l",0.0183095,0.0941528,1
"5610","Atg10",1.54477,2.26688,0.23816
"5611","A830009L08Rik",0,0,1
"5612","4833422C13Rik",0.181745,0.264212,1
"5613","Zcchc9",13.6501,15.2417,0.715134
"5614","Ckmt2",0,0.017198,1
"5615","Rasgrf2",0.0226099,0.296666,1
"5616","Msh3",14.5064,15.2368,0.929355
"5617","Fam151b",0.229019,0.550905,0.0918803
"5618","Zfyve16",1.91599,4.80558,0.000682861
"5619","Spz1",0.110642,0.0614307,1
"5620","Thbs4",0.00604365,0.378325,1
"5621","Cmya5",0.0149925,0.0140814,1
"5622","Papd4",36.1442,23.901,0.016269
"5623","Jmy",4.63363,7.65857,0.00180283
"5624","Bhmt",2.01478,0.0963693,0.000682861
"5625","Bhmt2",3.21563,0.0296469,0.149698
"5626","AW495222",1.70897,0.0422531,0.380584
"5627","Scamp1",5.23686,11.5004,0.000682861
"5628","Gm9776",2.31676,3.62103,0.0632394
"5629","Pde8b",0.197733,0.167027,1
"5630","Aggf1",27.3146,24.0574,0.589467
"5631","Crhbp",0.0613068,0.0622269,1
"5632","S100z",0,0.106922,1
"5633","F2rl1",22.7899,17.2805,0.157768
"5634","F2r",19.7494,8.86665,0.000682861
"5635","Iqgap2",5.81311,2.72375,0.000682861
"5636","Sv2c",0.191986,0.452848,1
"5637","Ankdd1b",0.290476,0.183053,1
"5638","Polk",6.08971,10.8129,0.00126911
"5639","Hmgcr",37.6114,102.47,0.000682861
"5640","1700029F12Rik",0.150983,0.0973041,1
"5641","Nsa2",72.2085,57.6311,0.576613
"5642","Hexb",61.514,33.0411,0.0898279
"5643","Rgnef",0.352827,1.59927,0.000682861
"5644","Utp15",27.5193,18.552,0.0191145
"5645","Btf3",552.137,531.867,0.906514
"5646","2310005E17Rik",0.0262183,0.0346493,1
"5647","Tmem174",0.00997432,0.0110678,1
"5648","Tmem171",0,0,1
"5649","Fcho2",12.2434,13.085,0.821814
"5650","Tnpo1",104.649,78.1318,0.0839037
"5651","1700024P04Rik",0.43183,0,1
"5652","2310020H05Rik",0,0,1
"5653","Ptcd2",25.3536,31.6129,0.28578
"5654","6430562O15Rik",4.78321,5.82348,0.819646
"5655","Mtap1b",15.0015,28.1096,0.000682861
"5656","Cartpt",0,0.019329,1
"5657","Mccc2",13.4179,12.3654,0.793272
"5658","Bdp1",12.3471,13.663,0.683937
"5659","Naip2",0.270395,0.509797,0.0400234
"5660","Naip5",0.179084,0.380331,1
"5661","Naip6,Naip7",0.00578994,0.155099,1
"5662","Naip1",0.00516092,0.00210793,1
"5663","Gtf2h2",19.1298,27.458,0.0516322
"5664","Ocln",1.41458,7.04508,0.000682861
"5665","Marveld2",0.503007,3.0834,0.000682861
"5666","Rad17",19.2421,18.5773,0.919769
"5667","Cdk7",13.1526,13.949,0.843947
"5668","Mrps36",35.1781,39.9306,0.651322
"5669","Cenph",39.5112,31.837,0.312465
"5670","Ccnb1",182.988,212.382,0.479554
"5671","Slc30a5",21.3606,21.7294,0.960931
"5672","4922502H24Rik",0,0,1
"5673","Pik3r1",4.69777,3.39692,0.093527
"5674","Mast4",1.62214,1.23631,0.23888
"5675","Srek1",22.182,26.8081,0.341919
"5676","Erbb2ip",5.52111,4.25867,0.219454
"5677","Nln",18.6735,14.5793,0.20152
"5678","2410002O22Rik",32.0164,24.5289,0.176438
"5679","Ppwd1",27.5799,26.2914,0.882548
"5680","Cwc27",23.7652,18.3057,0.190566
"5681","Fam159b",0.163794,0.670696,0.0404631
"5682","Rgs7bp",0.053362,0.230927,1
"5683","Rnf180",0.0909521,0.13789,1
"5684","Ipo11",43.9267,42.5324,0.921815
"5685","Kif2a",30.5062,27.3308,0.656418
"5686","Zswim6",3.73966,5.83262,0.0177048
"5687","Ndufaf2",28.3828,21.3635,0.224914
"5688","Rab3c",0.0995848,0.100131,1
"5689","Gapt",0.0165522,0.054405,1
"5690","3110015C05Rik",0.198136,0.306933,1
"5691","Gpbp1",52.2486,48.582,0.792625
"5692","Map3k1",10.4808,9.11132,0.535701
"5693","Il31ra",0.00449454,0.00606677,1
"5694","Ddx4",2.32151,8.20659,0.000682861
"5695","Skiv2l2",66.7516,62.2477,0.797237
"5696","Gpx8",1.39507,3.58223,0.000682861
"5697","Gzma",0,0,1
"5698","Gzmk",0,0,1
"5699","4921509O07Rik",0,0,1
"5700","Snx18",26.6981,12.175,0.000682861
"5701","Hspb3",0.0975388,0.172202,1
"5702","A430090L17Rik",0.134896,0.117089,1
"5703","Ndufs4",27.8162,28.5444,0.94642
"5704","Fst",3.16761,0.669964,0.000682861
"5705","Itga2",0.0367287,0.00848917,1
"5706","Itga1",0.298448,0.216258,1
"5707","Pelo",12.5424,10.8598,0.619989
"5708","Isl1",0.481996,0.129455,0.00180283
"5709","Parp8",0.147248,0.912934,0.000682861
"5710","4933413L06Rik",1.29389,0.787738,0.274223
"5711","Mrps30",49.8253,46.9509,0.843062
"5712","Nnt",12.8202,17.1729,0.108561
"5713","3110070M22Rik",0.157367,0.286092,1
"5714","Zfp131",0,0,1
"5715","E130304F04Rik",0,0,1
"5716","Zfp131",0,0,1
"5717","E130304F04Rik",0,0,1
"5718","Hmgcs1",0,0,1
"5719","1700074H08Rik",0,0,1
"5720","Hmgcs1",0,0,1
"5721","1700074H08Rik",0,0,1
"5722","Ccl28",0,0,1
"5723","Gm2897",0.660697,1.06797,0.18039
"5724","D830030K20Rik",0.0577797,0.138222,1
"5725","1700110I01Rik",0.0103827,0.0072502,1
"5726","Gm10413",0,0,1
"5727","Gm3020,Gm8348",0,0,1
"5728","Gm10408",0,0,1
"5729","1700110I01Rik",0.0103827,0.015575,1
"5730","Gm10413",0,0,1
"5731","Gm3020,Gm8348",0,0,1
"5732","Gm10408",0,0.0249956,1
"5733","1700110I01Rik",0,0,1
"5734","Gm3002",5.6643,17.7896,0.000682861
"5735","Gm5796",0.207947,0.395896,1
"5736","Gm3264",0,0,1
"5737","Gm3264",0,0,1
"5738","4930555G01Rik",0.132736,0.446814,1
"5739","Gm8050",0,0,1
"5740","Gm3383",0,0,1
"5741","Gm8050",0,0,1
"5742","Gm8050",0,0,1
"5743","Gm10413",0,0,1
"5744","Gm3020,Gm8348",0,0,1
"5745","Gm10408",0.0113763,0.00794402,1
"5746","4933406F09Rik",0.00937129,0,1
"5747","Flnb",65.035,49.1323,0.107164
"5748","Abhd6",4.94244,2.88119,0.0182803
"5749","Rpp14",13.2714,10.9941,0.432283
"5750","Pxk",6.90775,5.40197,0.293404
"5751","Kctd6",15.0315,8.10286,0.00180283
"5752","4930455B14Rik",0.115303,0.0486067,1
"5753","Gm3833",0.014005,0.0168472,1
"5754","Ptprg",8.196,9.73821,0.429072
"5755","3830406C13Rik",2.86843,5.45566,0.00277728
"5756","Synpr",0.133518,0.0172859,1
"5757","Sntn",0,0,1
"5758","Atxn7",1.77137,1.28476,0.171609
"5759","Olfr31",0.0822121,0.480675,1
"5760","Il3ra",3.7423,2.16078,0.0398002
"5761","Slc4a7",12.1468,24.8434,0.000682861
"5762","Nek10",0.091421,0.232112,1
"5763","Ngly1",2.7279,2.28405,0.702938
"5764","Top2b",16.4148,21.5117,0.15283
"5765","Thrb",0.21447,0.0509185,1
"5766","Nkiras1",2.60883,2.6336,0.990416
"5767","Nid2",123.056,71.3744,0.00534422
"5768","Nudt13",2.50465,2.44052,0.957453
"5769","Fam149b",9.10816,11.5684,0.305847
"5770","1810062O18Rik",0.401472,0.348418,1
"5771","Sec24c",45.1258,35.8296,0.211076
"5772","Fut11",2.90876,3.37497,0.628991
"5773","Chchd1",76.4777,125.563,0.00230466
"5774","2310021P13Rik",5.44745,4.81076,0.633161
"5775","Plau",0.197847,0.660392,0.00126911
"5776","Vcl",25.9521,26.8104,0.919537
"5777","Adk",18.5695,50.9944,0.000682861
"5778","Myst4",72.242,19.7808,0.000682861
"5779","Samd8",9.0258,10.491,0.503809
"5780","Vdac2",240.808,174.045,0.0563164
"5781","1700112E06Rik",0,0.0786478,1
"5782","E330034G19Rik",0.106709,0.102083,1
"5783","Rps24",1989.45,1559.93,0.207504
"5784","Zmiz1",11.8495,7.15796,0.00230466
"5785","Mir3075",0,0,1
"5786","4931406H21Rik",0.500736,0.260754,0.808478
"5787","Ppif",29.2528,55.9326,0.000682861
"5788","Anxa11",45.6295,70.317,0.00795595
"5789","Cphx",0,0,1
"5790","Duxbl,Gm10391",0.129815,0.0638232,1
"5791","Cphx",0,0,1
"5792","Gm10391",0,0,1
"5793","Cphx",0,0,1
"5794","Gm10394",0,0,1
"5795","4933413J09Rik",0.0589344,0.240409,1
"5796","Fam116a",15.3798,17.7932,0.533182
"5797","Arf4",63.5533,91.6296,0.0265331
"5798","Asb14",0.0444898,0.0343091,1
"5799","Hesx1",0.397102,0.366132,1
"5800","Il17rd",9.69292,12.4866,0.192816
"5801","Arhgef3",8.98338,12.0876,0.131336
"5802","D14Abb1e",35.0754,16.1892,0.000682861
"5803","Erc2",1.14969,0.564905,0.00180283
"5804","Wnt5a",0.249348,0.153692,1
"5805","Lrtm1",0.116325,0.127885,1
"5806","Selk",21.42,19.4879,0.772072
"5807","Actr8",22.9152,26.9963,0.467306
"5808","Chdh",0.00891584,0.0472978,1
"5809","Dcp1a",14.7092,16.1488,0.718549
"5810","Tkt",184.428,224.905,0.308819
"5811","Rft1",5.53253,6.81299,0.420083
"5812","Sfmbt1",2.76464,2.30454,0.486149
"5813","Tmem110",4.78944,5.13963,0.834797
"5814","Mustn1",0.0541337,0.102755,1
"5815","Itih4",0.0140645,0.0401352,1
"5816","Nek4",8.3825,10.0213,0.468109
"5817","Glt8d1",5.98641,7.46234,0.887776
"5818","Pbrm1",24.8483,28.1046,0.585978
"5819","Nt5dc2",68.3752,149.242,0.000682861
"5820","Tnnc1",0.588245,0.505159,0.84569
"5821","Sema3g",0.0103389,0.096982,1
"5822","Bap1",32.3365,30.1354,0.800264
"5823","Capn7",16.2579,20.0142,0.302163
"5824","Eaf1",27.6825,21.9618,0.222689
"5825","Btd",4.50425,4.34532,0.933738
"5826","Galntl2",0.0069022,0.00993709,1
"5827","Oxnad1",16.2816,15.3577,0.855831
"5828","Msmb",0.129722,0.147878,1
"5829","Ncoa4",59.918,40.1542,0.0100356
"5830","Parg",25.0157,20.2073,0.261908
"5831","Ogdhl",44.0249,36.2494,0.321245
"5832","Ercc6",3.94217,6.06483,0.0156878
"5833","Prrxl1",0.0070044,0.0412298,1
"5834","1810011H11Rik",0,0,1
"5835","Fam170b",0,0.0228664,1
"5836","E130203B14Rik",0,0.0836888,1
"5837","Lrrc18",0.0512584,0.757169,0.112573
"5838","Arhgap22",0.973558,4.49819,0.000682861
"5839","Ptpn20",0.101468,0.208052,1
"5840","Gdf10",0.0145212,0.0147781,1
"5841","Gdf2",0,0.0122372,1
"5842","Rbp3",0.00178302,0.0179882,1
"5843","Gm5460",0.182328,0.378128,1
"5844","Antxrl",0.00531378,0,1
"5845","Anxa8",0.270806,0.757601,0.00761292
"5846","Syt15",0.60499,0.827175,0.349797
"5847","Glud1",162.844,266.019,0.000682861
"5848","Mmrn2",7.35724,3.42062,0.000682861
"5849","Wapal",63.2729,61.9386,0.947934
"5850","Grid1",0.729166,0.220699,0.000682861
"5851","Mir346",0,0,1
"5852","4930474N05Rik",0,0,1
"5853","Lrit1",0.00362973,0.00597684,1
"5854","Lrit2",0.0639024,0.0829224,1
"5855","4930529F24Rik",0,0,1
"5856","1700109I08Rik",0,0,1
